"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"10254","ENSG00000120805",417,0.023,0.0598,0.485,0.779,"ARL1","9606.ENSP00000261636","Ensembl_gene"
"10255","ENSG00000130779",1071,0.0228,0.06,0.485,0.779,"CLIP1","9606.ENSP00000479322","Ensembl_gene"
"10256","ENSG00000143222",3482,-0.0236,0.058,0.485,0.779,"UFC1","9606.ENSP00000356982","Ensembl_gene"
"10257","ENSG00000158301",31,0.0139,0.0671,0.485,0.779,"GPRASP2","9606.ENSP00000437872","Ensembl_gene"
"10258","ENSG00000166435",361,0.0233,0.059,0.485,0.779,"XRRA1","9606.ENSP00000339918","Ensembl_gene"
"10259","ENSG00000166971",689,0.0245,0.0533,0.485,0.779,"AKTIP","9606.ENSP00000378152","Ensembl_gene"
"10260","ENSG00000167113",1676,-0.0245,0.0526,0.485,0.779,"COQ4","9606.ENSP00000300452","Ensembl_gene"
"10261","ENSG00000172301",293,-0.0225,0.0576,0.485,0.779,"COPRS","9606.ENSP00000304327","Ensembl_gene"
"10262","ENSG00000182154",1504,-0.0221,0.0612,0.485,0.779,"MRPL41","9606.ENSP00000360498","Ensembl_gene"
"10263","ENSG00000278030",655,0.0232,0.0606,0.485,0.779,"TRBV7-9","#N/A","#N/A"
"10264","ENSG00000104856",2732,-0.025,0.0576,0.485,0.779,"RELB","9606.ENSP00000221452","Ensembl_gene"
"10265","ENSG00000173585",98,-0.0163,0.066,0.485,0.779,"CCR9","9606.ENSP00000350256","Ensembl_gene"
"10266","ENSG00000258811",13,0.0108,0.0677,0.486,0.779,"AL583810.2","#N/A","#N/A"
"10267","ENSG00000179021",501,0.0207,0.063,0.486,0.779,"C3orf38","9606.ENSP00000322469","Ensembl_gene"
"10268","ENSG00000275807",28,0.0178,0.0657,0.486,0.779,"AC145285.6","#N/A","#N/A"
"10269","ENSG00000041353",123,0.0204,0.065,0.486,0.779,"RAB27B","9606.ENSP00000262094","Ensembl_gene"
"10270","ENSG00000170891",21,0.0094,0.0668,0.486,0.779,"CYTL1","9606.ENSP00000303550","Ensembl_gene"
"10271","ENSG00000102897",1057,0.0222,0.0624,0.486,0.779,"LYRM1","9606.ENSP00000379367","Ensembl_gene"
"10272","ENSG00000169612",786,-0.0232,0.0586,0.486,0.78,"RAMAC","9606.ENSP00000307181","Ensembl_gene"
