"","signature","padj","comparison","method","ln_padj"
"897","serum_AD_m3_v_m0_DP",4.01495382336213e-18,"eso_high_dupi","LEANR+ORA",40.0565058275908
"898","LS_v_NL_post_DP",4.76458014688513e-10,"eso_high_dupi","LEANR+ORA",21.4646415085978
"899","LS_Dup_W16",2.52032206062224e-08,"eso_high_dupi","LEANR+ORA",17.4962940487608
"900","LS_pre_post_DPL",6.03915534379802e-50,"eso_high_dupi","LEANR+ORA",113.330990491277
"901","LS_v_NL_BSL",1.55448853885241e-34,"eso_high_dupi","LEANR+ORA",77.8467465841917
"902","serum_AD_eosinophil_high_pre_v_post_DP",1.61705563421071e-27,"eso_high_dupi","LEANR+ORA",61.6891905250163
"903","serum_AD_m3_v_m0_DP",1.00574523064943e-23,"eso_high_dupi","LEANR+ORA",52.9537283491101
"904","LS_v_NL_post_DP",2.56441239390545e-16,"eso_high_dupi","LEANR+ORA",35.899632121723
"905","LS_Dup_W16",4.04286808154978e-11,"eso_high_dupi","LEANR+ORA",23.9314816616606
"906","LS_Dup_W4",6.04544617203878e-10,"eso_high_dupi","LEANR+ORA",21.2265456401543
"907","serum_AD_eosinophil_high_pre_v_post_DP",5.14848021500966e-14,"eso_high_dupi","LEANR+ORA",30.5974897346743
"908","LS_pre_post_DPL",2.22024505545481e-10,"eso_high_dupi","LEANR+ORA",22.2282333548083
"909","serum_AD_m3_v_m0_DP",1.61233743228172e-07,"eso_high_dupi","LEANR+ORA",15.6404107035426
"910","LS_v_NL_BSL",5.97831130899758e-07,"eso_high_dupi","LEANR+ORA",14.329957512675
"911","LS_v_NL_post_DP",4.87928047308255e-05,"eso_high_dupi","LEANR+ORA",9.92792770001657
"912","LS_Dup_W16",0.000882577051870601,"eso_high_dupi","LEANR+ORA",7.03266446206667
"913","LS_v_NL_DP_High_Response_BSL",0.0372133275638252,"advh","GSEA",3.29108831402087
"914","NL_DP_W16",0.00438400571739809,"advh","GSEA",5.42979242518625
"915","serum_AD_eosinophil_high_v_healthy_BSL",1.03283302065556e-14,"advh","GSEA",32.2038857699026
"916","serum_AD_eosinophil_low_v_high_BSL",7.82873360863368e-40,"advh","GSEA",90.0456029586464
"917","serum_AD_v_healthy_BSL",4.59505725495174e-06,"advh","GSEA",12.2905293419618
"918","serum_AD_eosinophil_low_v_high_BSL",0.000202866602165134,"eso_high_v_healthy","GSEA",8.50296192711994
"919","LS_Dup_W16",1.93898448688515e-18,"dupi","GSEA",40.7843672982393
"920","LS_Dup_W4",4.67025967925869e-08,"dupi","GSEA",16.8794660679805
"921","LS_Plac_W16",9.9547059801405e-07,"dupi","GSEA",13.8200502487713
"922","LS_TrtEff_W16",0.0110683182401721,"dupi","GSEA",4.503668464293
"923","LS_TrtEff_W4",0.000397694931231595,"dupi","GSEA",7.8298253510378
"924","LS_pre_post_DPL",8.74819498148372e-11,"dupi","GSEA",23.1595886316757
"925","LS_v_NL_BSL",2.28618888938243e-24,"dupi","GSEA",54.4351560411218
"926","LS_v_NL_DP_High_Response_BSL",5.78115256323313e-06,"dupi","GSEA",12.0609074897549
"927","LS_v_NL_DP_W0",2.51648283345187e-08,"dupi","GSEA",17.4978185183381
"928","LS_v_NL_plac_W0",1.56854508146011e-07,"dupi","GSEA",15.6679471609567
"929","LS_v_NL_plac_W16",3.06338839786509e-06,"dupi","GSEA",12.6959889350623
"930","LS_v_healthy_BSL",0.00743998533993036,"dupi","GSEA",4.90088640057855
"931","NL_DP_W16",0.00743998533993036,"dupi","GSEA",4.90088640057855
"932","NL_Plac_W16",0.000676127243236863,"dupi","GSEA",7.29912926999396
"933","acute_v_chronic_AD",0.0214704588769975,"dupi","GSEA",3.84107729438098
"934","dynamic_transcriptomic_signature",0.00142542495739828,"dupi","GSEA",6.5532852940009
"935","serum_AD_eosinophil_high_pre_v_post_DP",6.02065161771875e-29,"dupi","GSEA",64.9797722012184
"936","serum_AD_eosinophil_low_v_healthy_BSL",0.000279098430402566,"dupi","GSEA",8.18394604121937
"937","serum_AD_m3_v_m0_DP",2.9e-49,"dupi","GSEA",111.761958819716
"938","LS_Dup_W16",1.04523714214479e-16,"eso_high_dupi","GSEA",36.7971176979506
"939","LS_Dup_W4",2.29505025189289e-08,"eso_high_dupi","GSEA",17.58992600443
"940","LS_Plac_W16",0.000636694546411843,"eso_high_dupi","GSEA",7.3592205363748
"941","LS_TrtEff_W4",1.37176356285482e-06,"eso_high_dupi","GSEA",13.4994133737919
"942","LS_pre_post_DPL",6.80124616091067e-08,"eso_high_dupi","GSEA",16.5035748896027
"943","LS_v_NL_BSL",2.85820437957167e-36,"eso_high_dupi","GSEA",81.8428697594381
"944","LS_v_NL_DP_High_Response_BSL",3.2412854738045e-13,"eso_high_dupi","GSEA",28.7576362066291
"945","LS_v_NL_DP_W0",3.28568076875321e-06,"eso_high_dupi","GSEA",12.6259366919567
"946","LS_v_NL_plac_W0",6.58603518043525e-05,"eso_high_dupi","GSEA",9.62797393933047
"947","LS_v_NL_plac_W16",1.47143023859636e-05,"eso_high_dupi","GSEA",11.1266905857639
